"video_id","title","channel","upload_date","duration_sec","category","brand_or_source","actor","source_url","local_filename"
"oC9BCdJmuZc","Vimal Elaichi - Ajay Devgn | Shahrukh Khan | Akshay Kumar I Hindi TVC 45 secs","Vimal Elaichi","20231011","45","Promotional","Vimal","Ajay Devgn; Shah Rukh Khan; Akshay Kumar","https://www.youtube.com/watch?v=oC9BCdJmuZc","Videos\Promotional\oC9BCdJmuZc.mp4"
"9VLJyBaIiMQ","Vimal Elaichi I Kesari Holi I Ajay Devgn | Shahrukh Khan | Tiger Shroff I Hindi TVC 60 secs","Vimal Elaichi","20240425","60","Promotional","Vimal","Ajay Devgn; Shah Rukh Khan; Tiger Shroff","https://www.youtube.com/watch?v=9VLJyBaIiMQ","Videos\Promotional\9VLJyBaIiMQ.mp4"
"-IRKWvvlT-M","Vimal Elaichi 6 Secs Ad - Bolo Zubaan Kesari","Vimal Elaichi","20170504","6","Promotional","Vimal","Not identified","https://www.youtube.com/watch?v=-IRKWvvlT-M","Videos\Promotional\-IRKWvvlT-M.mp4"
"o2cFKv3Sb_8","Akshay Kumar Ajay Devgn Shahrukh Khan   Vimal Elaichi AD TVC","Indian Advertising Co. Ltd.","20220420","40","Promotional","Vimal","Akshay Kumar; Ajay Devgn; Shah Rukh Khan","https://www.youtube.com/watch?v=o2cFKv3Sb_8","Videos\Promotional\o2cFKv3Sb_8.mp4"
"EAnIJkAsP14","Vimal Pan Masala - Welcome - Ajay Devgan","Velvet Mediendesign","20160502","90","Promotional","Vimal","Ajay Devgn","https://www.youtube.com/watch?v=EAnIJkAsP14","Videos\Promotional\EAnIJkAsP14.mp4"
"7VDOruS-i10","Rajnigandha Ingredient Video 2022 | Yun Hi Nahin Main Rajnigandha Ban Jaata Hun 2.O | Hindi 45 Sec","RajnigandhaPM","20221001","45","Promotional","Rajnigandha","Sharad Kelkar (voice-over)","https://www.youtube.com/watch?v=7VDOruS-i10","Videos\Promotional\7VDOruS-i10.mp4"
"-KtN-Sz1iMA","Rajnigandha Ingredient Video 2026 | Yun Hi Nahin Main, Rajnigandha Ban Jaata Hun 3.O | 30 Sec","RajnigandhaPM","20260123","30","Promotional","Rajnigandha","Not identified","https://www.youtube.com/watch?v=-KtN-Sz1iMA","Videos\Promotional\-KtN-Sz1iMA.mp4"
"YU0COqQ9W-A","Rajnigandha Ingredient Video 2026 | Yun Hi Nahin Main, Rajnigandha Ban Jaata Hun 3.O | 45 Sec","RajnigandhaPM","20260123","45","Promotional","Rajnigandha","Not identified","https://www.youtube.com/watch?v=YU0COqQ9W-A","Videos\Promotional\YU0COqQ9W-A.mp4"
"iN7n_T5Jh54","Rajnigandha Diwali Hindi Ad | Kuch Kar Aisa Duniya Banna Chahe Tere Jaisa – Rajnigandha","RajnigandhaPM","20181012","61","Promotional","Rajnigandha","Not identified","https://www.youtube.com/watch?v=iN7n_T5Jh54","Videos\Promotional\iN7n_T5Jh54.mp4"
"guFdyc-Rpj0","Rajnigandha Pan Masala Ad |Ingredients – Rajnigandha","RajnigandhaPM","20150210","30","Promotional","Rajnigandha","Not identified","https://www.youtube.com/watch?v=guFdyc-Rpj0","Videos\Promotional\guFdyc-Rpj0.mp4"
